"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 22 21:01:24 TRT 2023","Wed Mar 22 21:01:39 TRT 2023","14990","","Bir yönetici olarak site verilerine erisebilmek,","","TC_003-Dashboard sayfasinin üst bölümünde Search TextBox'ınin görünür oldugu ve","","TC_003-Dashboard sayfasinin üst bölümünde Search TextBox'ınin görünür oldugu ve","  siteyi duzenleyebilmek, musteri isteklerine
  cevap verebilmek icin bir admin panelinin olmasini istiyorum
              Search TextBox'i kullanilarak site icinde arama yapilabildigi dogrulanmali."
"passed","Wed Mar 22 20:59:55 TRT 2023","Wed Mar 22 21:00:25 TRT 2023","29616","","US_15 As a user, I want to have a page where I can organize the notifications","","TC_133 Verify that the Notification page is accessible.","","TC_133 Verify that the Notification page is accessible.","  from the site and see the notifications."
"passed","Wed Mar 22 20:56:33 TRT 2023","Wed Mar 22 20:56:44 TRT 2023","11091","","All Categories menüsü altındaki tüm kategorilerin görünür ve aktif olduğunu doğrulayın.","","TC_001-Computer & Accessories, Electronics Devices,","","TC_001-Computer & Accessories, Electronics Devices,","            Watches & Accessories, Fashions, Toys,Kids&Babies,
            Bag&Shoes, Lifestyle&Home, TV & Home Appliances,
            Auto Mobiles & bikes kategorilerinin görünür olduğunu doğrulayın"
"passed","Wed Mar 22 20:56:57 TRT 2023","Wed Mar 22 20:57:10 TRT 2023","12740","","As a user, I want to be able to login with my registered email and password information.","","TC 115 Verify that when the Sign Up link next to Don't have an Account? text is clicked, it redirects to the relevant page","","TC 115 Verify that when the Sign Up link next to Don't have an Account? text is clicked, it redirects to the relevant page",""
"passed","Wed Mar 22 21:02:07 TRT 2023","Wed Mar 22 21:02:20 TRT 2023","13085","","US_037 - Bir yönetici olarak sitedeki aktivite verilerinin daha anlasilabilir","","US_037 --> TC_001 - Dashboard ana sayfasindaki Products,Orders Summary,Guest/Authorized Order Today,Today Order summary","","US_037 --> TC_001 - Dashboard ana sayfasindaki Products,Orders Summary,Guest/Authorized Order Today,Today Order summary","  olmasi icin sitedeki verileri grafikler ve listeler seklinde görebilmek istiyorum.
  başlıklarındaki grafiklerin görünür olduğunu doğrulanmali."
"broken","Wed Mar 22 20:58:41 TRT 2023","Wed Mar 22 20:59:05 TRT 2023","24146","","Bir kullanici olarak verdigim siparislerimin son durumunu takip edebilmek icin siparis detaylarini görebilecegim bir sayfanin olmasini istiyorum.","","US_018--->TC_01801 My Order sayfasindaki urun boardindan Order Details butonuna tiklayinca ilgili siparisin detay sayfasina gidildigi dogrulanmali.","","US_018--->TC_01801 My Order sayfasindaki urun boardindan Order Details butonuna tiklayinca ilgili siparisin detay sayfasina gidildigi dogrulanmali.",""
"passed","Wed Mar 22 20:58:23 TRT 2023","Wed Mar 22 20:58:41 TRT 2023","18343","","Bir kullanici olarak siparislerimle ilgili islemleri gerceklestirebilmek icin","","US_017--> TC002 - My Order sayfasinda siparislerimi gormek ister","","US_017--> TC002 - My Order sayfasinda siparislerimi gormek ister","  siparislerimi gösteren bir sayfanin olmasini istiyorum."
"passed","Wed Mar 22 20:56:44 TRT 2023","Wed Mar 22 20:56:57 TRT 2023","13362","","As a user, I want to be able to login with my registered email and password information.","","TC 114 When clicking the Click Here link next to Forgot Password? text, verify that it redirects to the relevant page","","TC 114 When clicking the Click Here link next to Forgot Password? text, verify that it redirects to the relevant page",""
"passed","Wed Mar 22 21:02:20 TRT 2023","Wed Mar 22 21:02:33 TRT 2023","12324","","US_037 - Bir yönetici olarak sitedeki aktivite verilerinin daha anlasilabilir","","US_037 --> TC_004 -Top 10 Product, New Customers, Recently Added Products, Top Refferers, Latest Order,","","US_037 --> TC_004 -Top 10 Product, New Customers, Recently Added Products, Top Refferers, Latest Order,","  olmasi icin sitedeki verileri grafikler ve listeler seklinde görebilmek istiyorum.
  Latest Search Keyword, Appealed Disputed Top Customers,
  Recent Reviews Product Reviews listelerinin görünür olduğu doğrulanmali."
"passed","Wed Mar 22 20:55:49 TRT 2023","Wed Mar 22 20:56:00 TRT 2023","10777","","US00101 Bir kullanıcı olarak ana sayfaya erişebilmeliyim","","TC0102 Siteye girerken title'ın Trendlifebuy Online Shopping olduğundan emin olunmalıdır.","","TC0102 Siteye girerken title'ın Trendlifebuy Online Shopping olduğundan emin olunmalıdır.",""
"passed","Wed Mar 22 20:57:43 TRT 2023","Wed Mar 22 20:58:03 TRT 2023","19881","","US_011 Bir kullanici olarak alisveris yaptigim sitede ürünler veya alisveris ile ilgili farkli bilgi ve görüslerden faydalanabilecegim bir blog sayfasi olmasini istiyorum.","","US_011-->TC_01102 Read more linkine tıklandığında ilgili sayfaya yönlendirdigi dogrulanmali.","","US_011-->TC_01102 Read more linkine tıklandığında ilgili sayfaya yönlendirdigi dogrulanmali.",""
"passed","Wed Mar 22 21:00:25 TRT 2023","Wed Mar 22 21:00:42 TRT 2023","17159","","US_025 Bir kullanici olarak sitede alisverisimi tamamladiktan sonra siteden logout yapabilmek istiyorum.","","US_025--->TC_02501 Ana sayfada Logout linkinin görünür oldugu dogrulanmali.","","US_025--->TC_02501 Ana sayfada Logout linkinin görünür oldugu dogrulanmali.",""
"passed","Wed Mar 22 20:59:05 TRT 2023","Wed Mar 22 20:59:31 TRT 2023","25552","","Bir kullanici olarak sitedeki alisverislerde","","TC_001-Dashboard sayfasinda bulunan side bar'daki My Wallet linkinin","","TC_001-Dashboard sayfasinda bulunan side bar'daki My Wallet linkinin","         kullanabilecegim bir cüzdanimin olmasini ve
         bu cüzdanla ilgili islemlerimi yapabilcegim bir sayfanin olmasini istiyorum.
            Wallet sayfasina yönlendirdigi dogrulanmali."
"passed","Wed Mar 22 20:56:00 TRT 2023","Wed Mar 22 20:56:20 TRT 2023","19515","","Verify that the functions in the top menu of the home page are active","","TC_001--->(US_002) Play store and apple store buttons should redirect to the relevant page","","TC_001--->(US_002) Play store and apple store buttons should redirect to the relevant page",""
"passed","Wed Mar 22 21:03:02 TRT 2023","Wed Mar 22 21:03:21 TRT 2023","19113","","US_041 - US_041 - Bir yönetici olarak acilan support ticketleri ile ilgili","","US_041 --> TC_003 - Yeni bir ticket acma sayfasinda Subject, User List,","","US_041 --> TC_003 - Yeni bir ticket acma sayfasinda Subject, User List,","  islemleri yapabilmek icin support ticket sayfasinin olamsini istiyorum.
  Assign to, Description, Category List, Priority, Status, Attach File bilgilerinin girilmesinin istendigi dogrulanmali"
"passed","Wed Mar 22 20:59:31 TRT 2023","Wed Mar 22 20:59:55 TRT 2023","24223","","Bir kullanici olarak sitedeki alisverislerde","","TC_002-My Wallet sayfasinda Total Balance, Running Balance,","","TC_002-My Wallet sayfasinda Total Balance, Running Balance,","         kullanabilecegim bir cüzdanimin olmasini ve
         bu cüzdanla ilgili islemlerimi yapabilcegim bir sayfanin olmasini istiyorum.
              Pending Balance boardlarinin görünür oldugu dogrulanmali."
"passed","Wed Mar 22 20:57:10 TRT 2023","Wed Mar 22 20:57:25 TRT 2023","14683","","Bir kullanici olarak alisveris yaparken satin almayi dusundugum ürünleri atacagim","","US_010 --> TC_001 - Shipping charge free from,","","US_010 --> TC_001 - Shipping charge free from,","  ve devaminda alisveris islemlerimi gerceklestirebilecegim bir sepet sayfasi olmasini istiyorum.
            Order Summary,Subtotal,Shipping Charge,
            Discount,VAT/TAX/GST ve Total yazılarınin görünür oldugu dogrulanmali."
"failed","Wed Mar 22 21:02:33 TRT 2023","Wed Mar 22 21:02:50 TRT 2023","17087","","US_038 Bir yönetici olarak sitede kullanilan keywordler hakkindaki raporlari görebilecegim bir sayfanin olmasini istiyorum","","US_038--->TC_03801 Quick Search TextBOx'i ile Keyword search report listesinde arama yapilabildigi dogrulanmali","","US_038--->TC_03801 Quick Search TextBOx'i ile Keyword search report listesinde arama yapilabildigi dogrulanmali",""
"passed","Wed Mar 22 21:02:50 TRT 2023","Wed Mar 22 21:03:02 TRT 2023","12228","","US_041 - US_041 - Bir yönetici olarak acilan support ticketleri ile ilgili","","US_041 --> TC_001 - Support Ticket linki ile Support Ticket sayfasina gidildigi dogrulanir","","US_041 --> TC_001 - Support Ticket linki ile Support Ticket sayfasina gidildigi dogrulanir","  islemleri yapabilmek icin support ticket sayfasinin olamsini istiyorum."
"passed","Wed Mar 22 20:57:25 TRT 2023","Wed Mar 22 20:57:43 TRT 2023","17968","","Bir kullanici olarak alisveris yaparken satin almayi dusundugum ürünleri atacagim","","US_010 --> TC_002 - Quantity bölümünden alınacak ürünün adedinin degistirilebildigi dogrulanmali.","","US_010 --> TC_002 - Quantity bölümünden alınacak ürünün adedinin degistirilebildigi dogrulanmali.","  ve devaminda alisveris islemlerimi gerceklestirebilecegim bir sepet sayfasi olmasini istiyorum."
"passed","Wed Mar 22 21:00:42 TRT 2023","Wed Mar 22 21:01:01 TRT 2023","19045","","US_025 Bir kullanici olarak sitede alisverisimi tamamladiktan sonra siteden logout yapabilmek istiyorum.","","US_025--->TC_02502 Ana sayfadaki Logout linkine tiklayinca hesaptan cikis yapildigi dogrulanmali.","","US_025--->TC_02502 Ana sayfadaki Logout linkine tiklayinca hesaptan cikis yapildigi dogrulanmali.",""
"passed","Wed Mar 22 20:55:38 TRT 2023","Wed Mar 22 20:55:49 TRT 2023","11384","","US00101 Bir kullanıcı olarak ana sayfaya erişebilmeliyim","","TC0101 URL girildiğinde ana sayfa erişilebilir olmalıdır.","","TC0101 URL girildiğinde ana sayfa erişilebilir olmalıdır.",""
"passed","Wed Mar 22 20:58:03 TRT 2023","Wed Mar 22 20:58:22 TRT 2023","19744","","Bir kullanici olarak siparislerimle ilgili islemleri gerceklestirebilmek icin","","US_017--> TC001 - Dashboard sayfasinda bulunan side bar'daki My Order linkinin","","US_017--> TC001 - Dashboard sayfasinda bulunan side bar'daki My Order linkinin","  siparislerimi gösteren bir sayfanin olmasini istiyorum.
  Order sayfasina yönlendirdigi dogrulanmali."
"passed","Wed Mar 22 21:03:21 TRT 2023","Wed Mar 22 21:03:47 TRT 2023","26004","","US_033 As an administrator, I want a page on the site where I can see all active and inactive customers together","","TC_001 When the All Customer button on the Dashboard Side Bar is clicked,","","TC_001 When the All Customer button on the Dashboard Side Bar is clicked,","                   it should be verified that the All customer page can be accessed"
"broken","Wed Mar 22 21:01:01 TRT 2023","Wed Mar 22 21:01:24 TRT 2023","23483","","Bir kullanici olarak begendigim ürünleri daha sonra degerlendirmek ve","","TC_001-Kullanicinin My Wishlist sayfasina erisebildigi dogrulanmali.","","TC_001-Kullanicinin My Wishlist sayfasina erisebildigi dogrulanmali.","         belkide satin almak icin bir sayfada listelenmesini istiyorum."
"passed","Wed Mar 22 21:01:39 TRT 2023","Wed Mar 22 21:02:07 TRT 2023","27940","","Bir yönetici olarak site kullanicilari icin gift cardlar hazirlamak,","","US_036 --> TC_001 It should be verified that the Gift Card List page is accessible from the","","US_036 --> TC_001 It should be verified that the Gift Card List page is accessible from the","  editlemek veya silmek icin bu fonksiyonlari gerceklestirebilecek bir sayfanin olmasini istiyorum.
  Gift Card tab in the Promotional menu on the Dashboard Side Bar."
"passed","Wed Mar 22 20:56:20 TRT 2023","Wed Mar 22 20:56:33 TRT 2023","12899","","Verify that the functions in the top menu of the home page are active","","TC_002--->(US_002) Track Your Order button should lead to the relevant page","","TC_002--->(US_002) Track Your Order button should lead to the relevant page",""
